BPS_ID,EVT_ID,freq,acres,BPS_NAME,bps_acres,EVT_NAME,evt_acres
11,7292,157959,35129,BPS  Open Water,35129,EVT  Open Water,35129
31,9101,2680,596,BPS  Barren-Rock/Sand/Clay,596,EVT  Great Lakes Dune,596
1614,7238,153396,34114,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Northern Oak Forest,244233
1614,7239,36530,8124,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Northern Pine-(Oak) Forest,92020
1614,7240,7008,1559,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Hardwood Forest,10068
1614,7241,8627,1919,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13639
1614,7242,2864,637,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian Oak Barrens,6303
1614,7243,233,52,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian Pine-Oak Barrens,1796
1614,7295,228,51,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,196
1614,7296,5537,1231,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Developed-Low Intensity,10451
1614,7297,1263,281,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Developed-Medium Intensity,2575
1614,7298,388,86,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Developed-High Intensity,771
1614,7299,36604,8141,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Developed-Roads,70702
1614,7301,168741,37527,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Sub-boreal Aspen-Birch Forest,123860
1614,7302,610887,135858,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Northern Hardwoods Forest,352626
1614,7310,15557,3460,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Dry-Mesic Oak Forest and Woodland,32008
1614,7311,9082,2020,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Dry Oak Forest and Woodland,37600
1614,7313,2750,612,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Beech-Maple Forest,4280
1614,7362,30442,6770,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Northern Pine Forest,99384
1614,7366,9906,2203,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Pine-Hemlock Forest,28846
1614,7395,409,91,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Oak Barrens Woodland,2181
1614,7407,8784,1954,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian Pine Barrens,22396
1614,7412,139,31,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Sand and Gravel Tallgrass Prairie,1279
1614,7466,5,1,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Great Lakes Wooded Dune and Swale,1348
1614,7481,11918,2651,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,167621
1614,7518,5,1,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Wet Flatwoods,30
1614,7905,20193,4491,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Urban Deciduous Forest,23661
1614,7906,3884,864,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Urban Evergreen Forest,13614
1614,7907,3529,785,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Urban Mixed Forest,7114
1614,7908,5388,1198,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Urban Herbaceous,9107
1614,7909,1829,407,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Urban Shrubland,2473
1614,7925,1766,393,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Developed Deciduous Forest,2445
1614,7926,920,205,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Developed Evergreen Forest,2432
1614,7927,533,119,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Developed Mixed Forest,950
1614,7928,40,9,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Developed Shrubland,62
1614,7929,426,95,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Developed Herbaceous,731
1614,7970,13262,2949,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Orchard,7450
1614,7971,95,21,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Vineyard,63
1614,7972,99,22,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Bush fruit and berries,121
1614,7973,13762,3061,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Row Crop - Close Grown Crop,11339
1614,7974,42851,9530,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Row Crop,29381
1614,7975,45863,10200,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Close Grown Crop,28166
1614,7976,28899,6427,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Fallow/Idle Cropland,24304
1614,7977,14340,3189,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Pasture and Hayland,15155
1614,7978,3586,798,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Eastern Cool Temperate Wheat,1903
1614,9055,203,45,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Boreal-Laurentian Bog,2471
1614,9056,1088,242,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,18184
1614,9057,16,4,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Boreal-Laurentian-Acadian Acidic Basin Fen,250
1614,9088,14,3,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,29
1614,9089,2669,594,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,6721
1614,9112,21314,4740,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian Jack Pine-Red Pine Forest,172450
1614,9114,2,0,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Alkaline Fen,277
1614,9117,1400,311,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Floodplain Forest,16724
1614,9118,261,58,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Freshwater Marsh,3530
1614,9120,311,69,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Laurentian-Acadian Wet Meadow,7301
1614,9177,67,15,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior and Appalachian Acidic Peatland Woodland,630
1614,9178,383,85,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior and Appalachian Rich Swamp,3432
1614,9179,97,22,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Floodplain Forest,2750
1614,9180,11,2,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Freshwater Marsh,253
1614,9183,19,4,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  North-Central Interior Shrub Swamp,374
1614,9192,31,7,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Northern Atlantic Coastal Plain Pond,722
1614,9202,2,0,BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock,329316,EVT  Northern Great Lakes Coastal Marsh,406
