Past,EVT,Acres
Past Conifer,Agricultural,4473
Past Conifer,Conifer,57330
Past Conifer,Conifer-Hardwood,17534
Past Conifer,Developed,13356
Past Conifer,Exotics,2673
Past Conifer,Grassland,4
Past Conifer,Hardwood,57600
Past Conifer,Riparian,5339
Past Grassland,Agricultural,526
Past Grassland,Conifer,3273
Past Grassland,Conifer-Hardwood,173
Past Grassland,Developed,466
Past Grassland,Exotics,349
Past Grassland,Grassland,55
Past Grassland,Hardwood,568
Past Grassland,Riparian,42
Past Hardwood,Agricultural,47685
Past Hardwood,Conifer,46414
Past Hardwood,Conifer-Hardwood,18467
Past Hardwood,Developed,24292
Past Hardwood,Exotics,4898
Past Hardwood,Grassland,54
Past Hardwood,Hardwood,245416
Past Hardwood,Riparian,10997
Past Hardwood-Conifer,Agricultural,62597
Past Hardwood-Conifer,Conifer,386974
Past Hardwood-Conifer,Conifer-Hardwood,84545
Past Hardwood-Conifer,Developed,104759
Past Hardwood-Conifer,Exotics,25183
Past Hardwood-Conifer,Grassland,991
Past Hardwood-Conifer,Hardwood,484838
Past Hardwood-Conifer,Riparian,13719
Past Riparian,Agricultural,2601
Past Riparian,Conifer,33899
Past Riparian,Conifer-Hardwood,2208
Past Riparian,Developed,4413
Past Riparian,Exotics,1514
Past Riparian,Grassland,215
Past Riparian,Hardwood,24730
Past Riparian,Riparian,202530
