"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1622,3561243,13620,51,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",309,447,65,48,16,11,73,"III-A",255,191,191,1,0.749019608,0.749019608,792001,38.9
"2",1628,1578349,14071,51,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258823529,0,351016,17.3
"3",1614,1480774,13022,51,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,NA,NA,2040,100,NA,NA,"V-B",76,230,0,0.298039216,0.901960784,0,329316,16.2
"4",1639,774944,14810,51,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909803922,0.741176471,1,172343,8.5
"5",1620,360565,13441,51,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","Conifer",34,64,7,5,15,8,77,"I-A",255,140,140,1,0.549019608,0.549019608,80188,3.9
"6",1636,265614,14750,51,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431373,0.560784314,0.960784314,59071,2.9
"7",1615,245405,13022,51,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,NA,NA,2040,100,NA,NA,"V-B",76,230,150,0.298039216,0.901960784,0.588235294,54577,2.7
"8",1629,215276,14072,51,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258823529,0.392156863,47876,2.4
"9",11,157959,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,35129,1.7
"10",1625,92554,13660,51,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686275,1,0.388235294,20584,1
"11",1637,89488,14770,51,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686275,0,0.541176471,19902,1
"12",1624,75722,13652,51,"13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",872,1306,NA,523,60,40,NA,"V-B",110,137,70,0.431372549,0.537254902,0.274509804,16840,0.8
"13",1623,56778,13651,51,"13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",490,524,NA,253,52,48,NA,"V-A",147,194,114,0.576470588,0.760784314,0.447058824,12627,0.6
"14",1635,50952,14710,51,"14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",NA,429,67,58,NA,14,86,"III-A",0,191,176,0,0.749019608,0.690196078,11331,0.6
"15",1633,36429,14440,51,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588235,0.270588235,0.611764706,8102,0.4
"16",1631,24519,14120,51,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839215686,0,0.615686275,5453,0.3
"17",1634,23701,14660,51,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709803922,0,0,5271,0.3
"18",1618,17090,13110,51,"13110_51","North-Central Interior Dry Oak Forest and Woodland","Hardwood",137,111,11,9,7,8,85,"I-B",179,207,143,0.701960784,0.811764706,0.560784314,3801,0.2
"19",1638,18294,14790,51,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,NA,NA,987,100,NA,NA,"V-B",207,61,255,0.811764706,0.239215686,1,4068,0.2
"20",1619,7667,13130,51,"13130_47_50_51","North-Central Interior Beech-Maple Forest","Hardwood",1004,NA,836,456,45,NA,55,"V-A",0,156,44,0,0.611764706,0.17254902,1705,0.1
"21",31,2680,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,596,0
"22",1617,3321,13100,51,"13100_51","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",161,160,11,9,6,6,88,"I-B",176,163,222,0.690196078,0.639215686,0.870588235,739,0
"23",1621,3543,13442,51,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Conifer",112,NA,NA,112,100,NA,NA,"IV-B",135,200,114,0.529411765,0.784313725,0.447058824,788,0
"24",1640,338,14920,51,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431373,0.960784314,0.792156863,75,0
"25",1641,253,14940,51,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658823529,0.419607843,56,0
