TransitionGroupID,Model_Code,annual_probability,BpS_Name,VALUE,ACRES,REL_PERCENT,annual_dist_acres
All Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,329316,16.2,160.047576
All Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,54577,2.7,26.524422
All Fire,13100_51,0.1077534,North-Central Interior Dry-Mesic Oak Forest and Woodland,1617,739,0,79.6297626
All Fire,13110_51,0.11053,North-Central Interior Dry Oak Forest and Woodland,1618,3801,0.2,420.12453
All Fire,13130_47_50_51,0.0022416,North-Central Interior Beech-Maple Forest,1619,1705,0.1,3.821928
All Fire,13441_51,0.1932342,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,80188,3.9,15495.06403
All Fire,13442_51,0.0091302,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,788,0,7.1945976
All Fire,13620_51_63_64_65_66,0.0205164,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,792001,38.9,16249.00932
All Fire,13651_51,0.0039598,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,12627,0.6,50.0003946
All Fire,13652_51,0.0018992,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,16840,0.8,31.982528
All Fire,13660_51_63_64_65_66,0.0064298,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,20584,1,132.3510032
All Fire,14071_41_50_51,0.227989,Laurentian Pine-Oak Barrens,1628,351016,17.3,80027.78682
All Fire,14072_41_50_51,0.118221,Laurentian Pine-Oak Barrens - Jack Pine,1629,47876,2.4,5659.948596
All Fire,14120_39_40_41_42_43_50_51,0.2928476,North-Central Interior Sand and Gravel Tallgrass Prairie,1631,5453,0.3,1596.897963
All Fire,14440_41_50_51,0.0049654,Eastern Boreal Floodplain,1633,8102,0.4,40.2296708
All Fire,14660_50_51,0.0021454,Great Lakes Wooded Dune and Swale,1634,5271,0.3,11.3084034
All Fire,14710_51_62,0.01687,Central Interior and Appalachian Floodplain Systems,1635,11331,0.6,191.15397
All Fire,14750_41_50_51_63_64_65_66,0.0170888,Laurentian-Acadian Floodplain Systems,1636,59071,2.9,1009.452505
All Fire,14770_40_41_50_51,0.0096418,Boreal Acidic Peatland Systems,1637,19902,1,191.8911036
All Fire,14790_41_42_47_48_50_51_53,0.0009708,Central Interior and Appalachian Swamp Systems,1638,4068,0.2,3.9492144
All Fire,14810_41_50_51_63,0.000999,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1639,172343,8.5,172.170657
All Fire,14940_41_50_51,0.0564512,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,1641,56,0,3.1612672
All Transitions,13022_41_50_51,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,329316,16.2,588.3559656
All Transitions,13022_41_50_51,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,54577,2.7,97.5072682
